model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,mismatched_pairs,jlens,19,last_token,opaque_only,atomic,12,0.6552,72,-0.10413314885345948,-8.801874973892723e-05,0.3888888888888889,0.3611111111111111,-0.010748284714939632,-0.010660265965200706,-1.9064157475606327,0.068,0.056633443870493176,0.6388888888888888,0.25,0.125,0.0,124.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,encode_only,atomic,13,0.6552,72,0.030253973466784503,-3.534738443491576e-05,0.5138888888888888,0.4166666666666667,-0.010899625188282178,-0.010864277803847263,0.9729092701758425,0.302,0.02900204411061762,1.0,0.125,0.125,0.03125,35.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,flatten_only,atomic,14,0.6552,72,0.009413260778136886,8.788288830836684e-06,0.5,0.5,-0.011053684227486003,-0.011062472516316844,0.2636030683639345,0.794,0.03566200502889598,0.041666666666666664,0.375,0.25,0.03125,97.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,rename_cumulative,cumulative,21,0.6552,72,-0.06507424378934519,-5.521369175981317e-05,0.375,0.375,-0.01090697596071368,-0.010851762268953865,-2.2721053408701724,0.024,0.028315189049295354,1.0,0.125,0.0,0.03125,130.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,rename_opaque,cumulative,22,0.6552,72,0.01841940609137053,-1.2101702157770912e-05,0.5138888888888888,0.4583333333333333,-0.010678724723397278,-0.010666623021239507,0.26967174563179075,0.76,0.06480513276353266,0.5,0.125,0.125,0.0,63.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,rename_opaque_encode,cumulative,23,0.6552,72,-0.015077605966392873,-3.060286637486252e-05,0.4166666666666667,0.4166666666666667,-0.010659038698772954,-0.01062843583239809,-0.2904282909389224,0.814,0.05874577316825491,0.5694444444444444,0.0,0.125,0.0625,76.0
starcoder2-3b,mismatched_pairs,jlens,19,last_token,rename_opaque_encode_flatten,cumulative,24,0.6552,72,-0.031047745975842908,-3.101321505969336e-05,0.4861111111111111,0.4027777777777778,-0.01134233487545211,-0.011311321660392417,-0.8110375419427783,0.39,0.03725874707634858,0.125,0.0,0.0,0.03125,127.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,clean_heldout,clean,-1,0.7931,72,0.03160131580316393,1.1799657994563356e-05,0.6388888888888888,0.5416666666666666,-0.010071224673929513,-0.010083024331924076,2.127600843742135,0.04,0.015268455170179013,1.0,0.5,0.625,0.0625,40.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,normalize,baseline,0,0.7931,72,0.005290269759236148,-3.616123416856619e-05,0.5694444444444444,0.4861111111111111,-0.010774287958252448,-0.010738126724083882,0.15982176700781112,0.864,0.02872537172367024,1.0,0.125,0.125,0.0625,67.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,rename_only,atomic,11,0.7931,72,-0.07875431169081636,-9.848216902901443e-05,0.4305555555555556,0.3333333333333333,-0.011123331264895025,-0.01102484909586601,-2.979438877784306,0.0,0.02611921963823587,1.0,0.0,0.0,0.03125,128.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,opaque_only,atomic,12,0.7931,72,-0.12651458388744763,-5.103531306219828e-05,0.375,0.4444444444444444,-0.010942957149976059,-0.01089192183691386,-2.0284198268103992,0.048,0.06431581831851016,0.6388888888888888,0.0,0.375,0.0,183.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,encode_only,atomic,13,0.7931,72,-0.008625993788035366,-5.9155032943111704e-05,0.5138888888888888,0.4583333333333333,-0.0109183605691823,-0.01085920553623919,-0.33325390611254146,0.798,0.03295694310164719,1.0,0.125,0.125,0.0625,67.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,flatten_only,atomic,14,0.7931,72,0.019476432239213866,1.7574663220513297e-05,0.4583333333333333,0.4722222222222222,-0.01202544484400127,-0.01204301950722178,0.4123958517883644,0.648,0.045162209445657964,0.041666666666666664,0.0,0.0,0.0625,73.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,rename_cumulative,cumulative,21,0.7931,72,-0.08822977722055841,-9.375920225927105e-05,0.3472222222222222,0.3611111111111111,-0.011130292329262761,-0.011036533127003487,-2.4594835011062166,0.01,0.03521583304204293,1.0,0.125,0.125,0.0,144.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,rename_opaque,cumulative,22,0.7931,72,0.05981461241215406,-7.576183043749645e-06,0.5277777777777778,0.4861111111111111,-0.011101939463866188,-0.011094363280822438,0.5269627553139935,0.542,0.10482959124173953,0.5,0.125,0.125,0.0,11.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,rename_opaque_encode,cumulative,23,0.7931,72,-0.030672602918106678,-7.350549023808227e-05,0.4166666666666667,0.4166666666666667,-0.011040721870035061,-0.01096721637979698,-0.31537262481697814,0.816,0.10793043935721248,0.5694444444444444,0.25,0.125,0.0625,80.0
starcoder2-3b,mismatched_pairs,jlens,23,last_token,rename_opaque_encode_flatten,cumulative,24,0.7931,72,-0.03006960476365864,-4.80769466740145e-05,0.4444444444444444,0.4166666666666667,-0.01218692515820962,-0.012138848211535606,-0.6308587121618617,0.52,0.0491892406574057,0.125,0.25,0.0,0.03125,115.0
