model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,last_token,5084, clean,0.0,3,0.0,0,1,0,168
starcoder2-3b,train,clens,-1,last_token,44483,obacz,0.0,4,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,3054,entry,0.0,5,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,42485,igsaw,0.0,6,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,48574,ásá,0.0,7,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,23376, sigu,0.0,8,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,36416,*)(*,0.0,9,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,3429, entry,0.0,10,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,40346,perfilusuario,0.0,11,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,41060,AUTHORS,0.0,12,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,2717,Entry,0.0,13,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,37913,streetmap,0.0,14,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,19599,tribs,0.0,15,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,48700, namemap,0.0,16,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,46511,putc,0.0,17,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,8040,fol,0.0,18,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,17015,selves,0.0,19,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,47229, Ros,0.0,20,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,36890,icorp,0.0,21,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,6777,hw,0.0,22,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,35362,ügen,0.0,23,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,16224,jshop,0.0,24,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,22138,ITERAL,0.0,25,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,18207, %(,0.0,26,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,22534,ーシ,0.0,27,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,15930,":""-""`",0.0,28,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,8715,ENTRY,0.0,29,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,37610,brk,0.0,30,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,5517,fi,0.0,31,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,49090,"
                     
                    ",0.0,32,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,1836,FI,0.0,33,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,30957,]\:,0.0,34,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,42643,displayMode,0.0,35,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,26332,texttt,0.0,36,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,4802,legate,0.0,37,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,37566,TOMCAT,0.0,38,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,33175,>#<,0.0,39,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,18867,҆,0.0,40,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,40181,Zc,0.0,41,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,42865,FAMIL,0.0,42,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,575, or,0.0,43,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,34232,MCAT,0.0,44,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,138,�,0.0,45,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,2033,pository,0.0,46,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,210,�,0.0,47,0.0,0,0,0,168
starcoder2-3b,train,clens,-1,last_token,35747,―,0.0,48,0.0,0,0,0,168
