lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
logit-lens,3,answer,binding_concept,inner,56,0.09051513671875,0.06395830426897321,0.11808711460658482,0.09299577985491071,0.06575578962053572,0.1196791512625558,-0.0024806431361607145,-0.01820765904017857,0.013038853236607124,True
logit-lens,3,answer,binding_concept,local,56,0.12088448660714286,0.10177176339285714,0.14083426339285715,0.12444196428571429,0.10435093470982143,0.14530029296875,-0.0035574776785714285,-0.015206473214285714,0.008930315290178561,True
logit-lens,3,answer,binding_concept,outer,56,0.03444126674107143,0.019250488281250002,0.04961286272321429,0.04387555803571429,0.028913225446428572,0.05807146344866071,-0.009434291294642858,-0.023652866908482145,0.004499598911830355,True
logit-lens,3,answer,binding_concept,scope,56,0.08291353498186384,0.052449812207903186,0.1138068471636091,0.08006831577845983,0.0452953611101423,0.11357528141566677,0.002845219203404018,-0.014269174848284041,0.01968514578683033,True
logit-lens,3,answer,binding_concept,shadow,56,-0.036830357142857144,-0.06682826450892858,-0.007250976562500019,-0.03264508928571429,-0.06584821428571429,0.0006975446428571429,-0.004185267857142857,-0.018973214285714284,0.010602678571428572,True
logit-lens,3,answer,binding_concept,value,56,-0.03571428571428571,-0.06417410714285714,-0.00836356026785718,-0.030691964285714284,-0.060267857142857144,-0.0030691964285714285,-0.005022321428571429,-0.015904017857142856,0.006696428571428571,True
logit-lens,3,answer,binding_concept,variable,56,0.03913225446428571,0.017227608816964286,0.06194370814732142,0.03696986607142857,0.014439174107142858,0.05922154017857143,0.002162388392857143,-0.009769112723214285,0.013813127790178561,True
logit-lens,3,answer,generic_code,buffer,56,0.13504464285714285,0.1076939174107143,0.16294642857142858,0.14118303571428573,0.1135532924107143,0.1685407366071428,-0.006138392857142857,-0.017578125,0.007254464285714286,True
logit-lens,3,answer,generic_code,class,56,0.07114955357142858,0.04603097098214286,0.09515206473214283,0.076171875,0.050774274553571426,0.10100446428571429,-0.005022321428571429,-0.015073939732142856,0.004750279017857104,True
logit-lens,3,answer,generic_code,count,56,0.11997767857142858,0.09598214285714286,0.14564732142857142,0.12611607142857142,0.09821428571428571,0.15290178571428573,-0.006138392857142857,-0.020089285714285716,0.008928571428571428,True
logit-lens,3,answer,generic_code,error,56,0.011021205357142858,-0.015488978794642857,0.03669433593749998,0.01171875,-0.015488978794642857,0.038368443080357126,-0.0006975446428571429,-0.013117327008928571,0.01171875,True
logit-lens,3,answer,generic_code,file,56,-0.035853794642857144,-0.05929478236607143,-0.012552315848214306,-0.031947544642857144,-0.05692313058035714,-0.007533482142857143,-0.00390625,-0.011997767857142858,0.005025809151785696,True
logit-lens,3,answer,generic_code,import,56,0.023716517857142856,-0.0032121930803571427,0.04840959821428571,0.026785714285714284,-0.00027901785714285713,0.05120326450892856,-0.0030691964285714285,-0.01827915736607143,0.01130371093749998,True
logit-lens,3,answer,generic_code,index,56,0.008370535714285714,-0.019046456473214287,0.03627232142857143,0.009347098214285714,-0.019323730468749998,0.038722446986607095,-0.0009765625,-0.015208217075892858,0.013394601004464275,True
logit-lens,3,answer,generic_code,number,56,0.05918666294642857,0.0439453125,0.07366420200892855,0.05671037946428571,0.04003819056919643,0.07247663225446427,0.002476283482142857,-0.009664481026785713,0.014683314732142858,True
logit-lens,3,answer,generic_code,path,56,0.08258928571428571,0.05357142857142857,0.109375,0.08928571428571429,0.05747767857142857,0.11662946428571429,-0.006696428571428571,-0.020089285714285716,0.006696428571428571,True
logit-lens,3,answer,generic_code,print,56,0.1349921907697405,0.11219428947993687,0.15749729360852924,0.14301409040178573,0.11830902099609375,0.16621769496372768,-0.008021899632045202,-0.02037794249398368,0.0048400878906249955,True
logit-lens,3,answer,generic_code,range,56,-0.032505580357142856,-0.052036830357142856,-0.013664899553571466,-0.033482142857142856,-0.051478794642857144,-0.01590053013392859,0.0009765625,-0.01604701450892857,0.016462053571428572,True
logit-lens,3,answer,generic_code,result,56,0.14564732142857142,0.1171875,0.17467912946428565,0.14174107142857142,0.11272321428571429,0.171875,0.00390625,-0.01005859375,0.017299107142857144,True
logit-lens,3,answer,generic_code,return,56,0.021920340401785716,0.0012656075613839291,0.04318193708147319,0.025861467633928572,0.005963570731026786,0.045918927873883915,-0.003941127232142857,-0.015049525669642858,0.00774318150111607,True
logit-lens,3,answer,generic_code,string,56,-0.09068080357142858,-0.1171875,-0.0625,-0.09598214285714286,-0.12332589285714286,-0.06891043526785717,0.005301339285714286,-0.005859375,0.016462053571428572,True
logit-lens,3,answer,generic_code,total,56,-0.0390625,-0.0556640625,-0.021201869419642878,-0.03724888392857143,-0.05259835379464285,-0.022042410714285716,-0.0018136160714285715,-0.013814871651785713,0.011582728794642838,True
logit-lens,3,answer,positional,earlier,56,0.07979910714285714,0.056919642857142856,0.10435267857142858,0.08816964285714286,0.06668526785714286,0.111328125,-0.008370535714285714,-0.017857142857142856,0.0013950892857142857,True
logit-lens,3,answer,positional,kept,56,-0.018973214285714284,-0.03683733258928572,-0.0011160714285714285,-0.010881696428571428,-0.027622767857142856,0.006424386160714247,-0.008091517857142858,-0.022042410714285716,0.005022321428571429,True
logit-lens,3,answer,positional,later,56,-0.05217633928571429,-0.07297188895089285,-0.031529017857142856,-0.05671037946428571,-0.07826799665178572,-0.0362705775669643,0.004534040178571429,-0.011441476004464286,0.019880022321428572,True
logit-lens,3,answer,positional,replaced,56,-0.02734375,-0.04827008928571429,-0.007533482142857143,-0.026785714285714284,-0.04743303571428571,-0.006975446428571429,-0.0005580357142857143,-0.012841796874999999,0.01171875,True
logit-lens,3,answer,random_concepts,random_0,56,-0.015066964285714286,-0.030133928571428572,0.0008370535714285714,-0.005859375,-0.019259207589285714,0.006417410714285714,-0.009207589285714286,-0.022321428571428572,0.005022321428571429,True
