model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,7,fixed_a,4,signature,-0.000498702370819031,-0.000206391891702783,0.4675,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,5,signature,0.0014725737432507513,0.0014697316509476592,0.88,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,6,signature,0.0026995895473847114,0.002533970094142313,0.84,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,7,other,0.0006060552796235252,0.0007021057255083476,0.6475,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,8,other,-0.0014238187142897052,-0.0013736859727539903,0.24,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,9,inner_def_name,0.008395481261518772,0.008543792665722492,0.9575,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,10,other,0.002294527677493312,0.0027476671727506624,0.735,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,11,inner_def_value,0.01183829907139342,0.010662842422871513,0.805,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,12,other,0.003653845999298176,0.003515462157309744,0.9775,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,13,other,0.0017295518079561158,0.0016759589688968447,0.935,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,14,return_kw,-0.0011300418996895332,-0.0011483503238977405,0.3775,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,15,use_site,-0.028048996683906865,-0.027997105971578867,0.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,16,suffix,-0.007196958717666005,-0.007078796409152852,0.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,17,suffix,0.005042648285369492,0.004886053896453156,0.925,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,18,suffix,0.00582174079592877,0.005846007004510408,1.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,19,suffix,0.010296809557107043,0.010256452206308681,1.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_a,20,suffix,0.007376099393082569,0.007010224519965108,0.835,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,0,outer_def_name,-0.007934687361026808,-0.007782181521697032,0.11,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,1,other,0.0007832546528905695,0.0006154532102152742,0.555,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,2,outer_def_value,-0.015455544414121704,-0.014495763319924467,0.0725,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,3,other,0.0011082761398179043,0.0015148846145095068,0.5925,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,4,signature,-2.7137892802672637e-05,0.00011606697176288865,0.5075,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,5,signature,-7.243839531683841e-05,-0.00011302848622865612,0.465,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,6,signature,0.0048172702297525,0.004489354144493616,0.96,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,7,other,0.0004621659080561062,0.0004341409251487549,0.61,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,8,other,-9.418568588974709e-05,-0.00010442563290126347,0.4775,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,9,inner_def_name,0.005458735940832721,0.005553289558335983,0.8125,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,10,other,0.006703611392320834,0.006981796407791169,0.94,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,11,inner_def_value,0.0399044309462852,0.03933667901894525,1.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,12,other,0.002488178332940555,0.0022972601004125444,0.8475,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,13,other,0.0017116369863209163,0.0016275721453475316,0.9075,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,14,return_kw,0.0012558700280158779,0.0012700354400268293,0.625,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,15,use_site,-0.033211821698559456,-0.03313171418897195,0.0,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,16,suffix,-0.004230064879783547,-0.004168483368376299,0.0275,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,17,suffix,-0.001453519578979599,-0.00138214282576795,0.335,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,18,suffix,0.003968779926727856,0.003873684683740418,0.9825,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,19,suffix,0.0028060072285104208,0.0028233684828410967,0.7725,400
deepseek-coder-6.7b,flip_ab,7,fixed_b,20,suffix,-0.008988826367247328,-0.009673903733079817,0.1425,400
deepseek-coder-6.7b,flip_ab,7,other,0,outer_def_name,0.015094927369603127,0.015455902113185982,0.97,400
deepseek-coder-6.7b,flip_ab,7,other,1,other,0.008975569899287494,0.008452290637788034,0.9925,400
deepseek-coder-6.7b,flip_ab,7,other,2,outer_def_value,0.023460697454481042,0.02180147328468732,0.9425,400
deepseek-coder-6.7b,flip_ab,7,other,3,other,-0.006341101431806695,-0.0058590672069150085,0.1925,400
deepseek-coder-6.7b,flip_ab,7,other,4,signature,0.00026814758995320336,0.0005654853027602883,0.5575,400
deepseek-coder-6.7b,flip_ab,7,other,5,signature,0.0004140375236226599,0.0004342866016094466,0.6075,400
deepseek-coder-6.7b,flip_ab,7,other,6,signature,0.001863600759915362,0.0017588139721727211,0.735,400
deepseek-coder-6.7b,flip_ab,7,other,7,other,-0.0004610328890128921,-0.00044257088188933303,0.4075,400
