model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,alias-1,alias,,,12,random,erase,-1.03125,-1.1875,-0.15625,0.03799919426453466
starcoder2-3b,alias-1,alias,,,16,jlens,erase,-1.03125,-0.90625,0.125,0.007926012110577134
starcoder2-3b,alias-1,alias,,,16,rlens,erase,-1.03125,-0.96875,0.0625,0.00635011841639415
starcoder2-3b,alias-1,alias,,,16,logit,erase,-1.03125,-1.09375,-0.0625,0.0036806365889374684
starcoder2-3b,alias-1,alias,,,16,offtarget,erase,-1.03125,-0.9375,0.09375,0.00927217043869058
starcoder2-3b,alias-1,alias,,,16,random,erase,-1.03125,-1.03125,0.0,0.04332222666814709
starcoder2-3b,alias-1,alias,,,20,jlens,erase,-1.03125,-0.28125,0.75,0.015117065177289786
starcoder2-3b,alias-1,alias,,,20,rlens,erase,-1.03125,-0.78125,0.25,0.007125057095591209
starcoder2-3b,alias-1,alias,,,20,logit,erase,-1.03125,-1.3125,-0.28125,0.005315987462326797
starcoder2-3b,alias-1,alias,,,20,offtarget,erase,-1.03125,-0.90625,0.125,0.0063199623872415706
starcoder2-3b,alias-1,alias,,,20,random,erase,-1.03125,-1.0625,-0.03125,0.010916441978118873
starcoder2-3b,call-1,call,,,12,jlens,erase,-7.21875,-7.25,-0.03125,0.008959685681659267
starcoder2-3b,call-1,call,,,12,rlens,erase,-7.21875,-7.25,-0.03125,0.048635567204749
starcoder2-3b,call-1,call,,,12,logit,erase,-7.21875,-7.15625,0.0625,0.0009324041406273161
starcoder2-3b,call-1,call,,,12,offtarget,erase,-7.21875,-7.15625,0.0625,0.009749627267303499
starcoder2-3b,call-1,call,,,12,random,erase,-7.21875,-7.125,0.09375,0.02032322811448672
starcoder2-3b,call-1,call,,,16,jlens,erase,-7.21875,-6.75,0.46875,0.028578599576844086
