split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_index,ci_lo_index,delta_modulus,ci_lo_modulus,delta_mul_sub,ci_lo_mul_sub,delta_threshold,ci_lo_threshold
calib,use,band,L16+24+31,jlens_value,5,-0.0008680688010321723,0.0022977888584136963,False,False,0.0021701306104660034,9.934107462565104e-09,-0.0008680688010321723,-0.00434028771188524,0.0022977888584136963,-0.0004595640827627743,0.001562527815500895,-0.0010416467984517416,0.0004340269499354892,-0.0030381961208250786
calib,use,band,L16+24+31,logit_value,5,-0.0017361044883728027,0.0004340269499354892,False,False,-0.0008680572112401327,-0.005208333416117562,-0.0017361044883728027,-0.005208323399225871,-7.012311150045956e-09,-0.002757354738081203,-0.0010416428248087564,-0.004166646798451742,0.0004340269499354892,-0.0026041633552975124
calib,use,band,L16+24+31,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calib,use,band,L16+24+31,probe_basis,5,0.0,0.03428818451033698,False,False,0.03428818451033698,0.016059031006362703,0.0,-0.009548614505264494,0.028033082976060754,0.002297783555353389,0.008333361148834229,0.0026041666666666665,0.0039062475164731345,0.00043402941276629765
calib,use,band,L16+24+31,whole_state,5,0.0026041650109820897,0.1852021953638862,True,False,0.1475694411330753,0.08549260836508539,0.0034722155994839137,-0.029079848031202952,0.1852021953638862,0.06661303398363731,0.016666694482167562,-0.014062448342641195,0.0026041650109820897,-0.0021701413931118118
calib,use,band,L8+16+24,cf_push_0.03,5,-0.0010416388511657714,0.009548612766795687,False,False,0.009548612766795687,0.0012912304037147103,0.0017361077997419569,-0.0013020866447024876,0.009191167705199298,5.083925583783328e-09,-0.0010416388511657714,-0.005729126930236817,0.002604168322351244,-0.000868054727713267
calib,use,band,L8+16+24,cf_push_0.1,5,-0.0026041507720947266,0.040364558498064675,False,False,0.040364558498064675,0.012141917852891818,0.005642374356587728,-0.0026041501926051245,0.03216911238782546,0.001378662226831212,-0.0026041507720947266,-0.015104146798451741,0.010416665838824378,-0.0008680555555555555
calib,use,band,L8+16+24,cf_push_0.3,5,0.0072916984558105465,0.24956597884496054,True,False,0.24956597884496054,0.14236112725403574,0.020833323399225872,-0.012163651486237843,0.1636029411764706,0.04778262346106417,0.0072916984558105465,-0.03333327829837799,0.03428819361660215,-0.002604166687362724
calib,use,band,L8+16+24,cf_push_1,5,0.08550346891085307,3.4869791749450894,True,False,3.4869791749450894,2.551551652989454,0.08550346891085307,-0.07944879424240854,1.2463235294117647,0.739820765353301,0.34635419050852456,-0.07606770048538843,0.1575520841611756,0.03730469410204225
calib,use,band,L8+16+24,gram_random,5,-0.0010416388511657714,0.0034722056653764513,False,False,0.0034722056653764513,-0.0026042265196641284,-0.0008680389987097846,-0.003906213574939304,0.000919112387825461,-0.0064338305417229145,-0.0010416388511657714,-0.004166635076204936,0.0008680522441864014,-0.001302087472544776
