task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,7,scope_shadow,500,507.0,0.5424766660721717,50463
defuse_edge,7,scope_shadow,1000,1000.0,0.56135975215745,165589
defuse_edge,11,comment_prose,0,0.0,0.9993164730006835,1463
defuse_edge,11,comment_prose,50,56.0,0.9882596685082873,1448
defuse_edge,11,comment_prose,100,112.0,0.9924033149171271,1448
defuse_edge,11,comment_prose,200,224.0,0.988950276243094,1448
defuse_edge,11,comment_prose,500,512.0,0.9703038674033149,1448
defuse_edge,11,comment_prose,1000,1005.0,0.9501730103806229,1445
defuse_edge,11,competing_update,0,0.0,0.9993164730006835,1463
defuse_edge,11,competing_update,50,50.0,0.9216255442670537,1378
defuse_edge,11,competing_update,100,104.0,0.9261790840738209,1463
defuse_edge,11,competing_update,200,200.0,0.9152426520847573,1463
defuse_edge,11,competing_update,500,500.0,0.8974709501025291,1463
defuse_edge,11,competing_update,1000,1003.0,0.8689859363434493,1351
defuse_edge,11,dead_code,0,0.0,1.0,1463
defuse_edge,11,dead_code,50,50.0,0.9921915668922436,1921
defuse_edge,11,dead_code,100,100.0,0.9791576204950065,2303
defuse_edge,11,dead_code,200,200.0,0.9774730656219393,3063
defuse_edge,11,dead_code,500,511.0,0.9563991730877655,5321
defuse_edge,11,dead_code,1000,1004.0,0.9558536865038413,8721
defuse_edge,11,lexical_decoy,0,0.0,0.9993164730006835,1463
defuse_edge,11,lexical_decoy,50,72.0,0.9548104956268222,2058
defuse_edge,11,lexical_decoy,100,120.0,0.9354571783202317,2417
defuse_edge,11,lexical_decoy,200,216.0,0.9256010396361274,3078
defuse_edge,11,lexical_decoy,500,520.0,0.9259123418301852,5453
defuse_edge,11,lexical_decoy,1000,1024.0,0.8946776189940362,8887
defuse_edge,11,scope_shadow,0,0.0,0.9993160054719562,1462
defuse_edge,11,scope_shadow,50,60.0,0.8376362593230063,3486
defuse_edge,11,scope_shadow,100,105.0,0.7551304347826087,5750
defuse_edge,11,scope_shadow,200,201.0,0.562335905799984,12569
