lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,3,0.0968,sink_arg,clean_heldout,0.5972222222222222,0.148,0.09722222222222221,0.041666666666666685,2.333333333333332,True
clens,3,0.0968,sink_arg,encode_only,0.5694444444444444,0.108,0.06944444444444442,0.05555555555555558,1.2499999999999991,True
clens,3,0.0968,sink_arg,flatten_only,0.5972222222222222,0.202,0.09722222222222221,0.1111111111111111,0.8749999999999999,False
clens,3,0.0968,sink_arg,normalize,0.5972222222222222,0.15,0.09722222222222221,0.041666666666666685,2.333333333333332,True
clens,3,0.0968,sink_arg,opaque_only,0.5972222222222222,0.104,0.09722222222222221,0.02777777777777779,3.4999999999999982,True
clens,3,0.0968,sink_arg,rename_cumulative,0.5277777777777778,0.474,0.02777777777777779,0.1111111111111111,0.2500000000000001,False
clens,3,0.0968,sink_arg,rename_only,0.5833333333333334,0.786,0.08333333333333337,0.06944444444444442,1.200000000000001,True
clens,3,0.0968,sink_arg,rename_opaque,0.4861111111111111,0.968,0.013888888888888895,0.05555555555555558,0.25,False
clens,3,0.0968,sink_arg,rename_opaque_encode,0.5,0.324,0.0,0.04166666666666663,0.0,False
clens,3,0.0968,sink_arg,rename_opaque_encode_flatten,0.5277777777777778,0.87,0.02777777777777779,0.05555555555555558,0.5,False
clens,7,0.2258,sink_arg,clean_heldout,0.4861111111111111,0.286,0.013888888888888895,0.09722222222222221,0.14285714285714293,False
clens,7,0.2258,sink_arg,encode_only,0.5138888888888888,0.254,0.01388888888888884,0.125,0.11111111111111072,False
clens,7,0.2258,sink_arg,flatten_only,0.5833333333333334,0.432,0.08333333333333337,0.05555555555555558,1.5,True
clens,7,0.2258,sink_arg,normalize,0.4722222222222222,0.268,0.02777777777777779,0.08333333333333337,0.3333333333333333,False
clens,7,0.2258,sink_arg,opaque_only,0.4583333333333333,0.036,0.041666666666666685,0.05555555555555558,0.75,False
clens,7,0.2258,sink_arg,rename_cumulative,0.4861111111111111,0.476,0.013888888888888895,0.06944444444444442,0.20000000000000015,False
clens,7,0.2258,sink_arg,rename_only,0.5138888888888888,0.236,0.01388888888888884,0.11111111111111116,0.1249999999999995,False
clens,7,0.2258,sink_arg,rename_opaque,0.5138888888888888,0.524,0.01388888888888884,0.13888888888888884,0.09999999999999969,False
clens,7,0.2258,sink_arg,rename_opaque_encode,0.4027777777777778,0.166,0.09722222222222221,0.08333333333333337,1.166666666666666,True
clens,7,0.2258,sink_arg,rename_opaque_encode_flatten,0.4583333333333333,0.92,0.041666666666666685,0.05555555555555558,0.75,False
clens,11,0.3548,sink_arg,clean_heldout,0.5277777777777778,0.924,0.02777777777777779,0.20833333333333337,0.13333333333333336,False
clens,11,0.3548,sink_arg,encode_only,0.5555555555555556,0.308,0.05555555555555558,0.1527777777777778,0.36363636363636376,False
clens,11,0.3548,sink_arg,flatten_only,0.5416666666666666,0.388,0.04166666666666663,0.02777777777777779,1.499999999999998,True
clens,11,0.3548,sink_arg,normalize,0.5833333333333334,0.924,0.08333333333333337,0.19444444444444442,0.4285714285714288,False
clens,11,0.3548,sink_arg,opaque_only,0.5277777777777778,0.656,0.02777777777777779,0.125,0.22222222222222232,False
clens,11,0.3548,sink_arg,rename_cumulative,0.4722222222222222,0.342,0.02777777777777779,0.25,0.11111111111111116,False
clens,11,0.3548,sink_arg,rename_only,0.4583333333333333,0.072,0.041666666666666685,0.13888888888888884,0.30000000000000027,False
clens,11,0.3548,sink_arg,rename_opaque,0.4305555555555556,0.032,0.06944444444444442,0.13888888888888884,0.5,False
clens,11,0.3548,sink_arg,rename_opaque_encode,0.4027777777777778,0.022,0.09722222222222221,0.08333333333333337,1.166666666666666,True
clens,11,0.3548,sink_arg,rename_opaque_encode_flatten,0.4722222222222222,0.938,0.02777777777777779,0.041666666666666685,0.6666666666666666,False
clens,15,0.4839,sink_arg,clean_heldout,0.4027777777777778,0.118,0.09722222222222221,0.11111111111111116,0.8749999999999996,False
clens,15,0.4839,sink_arg,encode_only,0.4861111111111111,0.352,0.013888888888888895,0.11111111111111116,0.125,False
clens,15,0.4839,sink_arg,flatten_only,0.4444444444444444,0.892,0.05555555555555558,0.06944444444444442,0.8000000000000006,False
clens,15,0.4839,sink_arg,normalize,0.4305555555555556,0.122,0.06944444444444442,0.125,0.5555555555555554,False
clens,15,0.4839,sink_arg,opaque_only,0.5,0.376,0.0,0.11111111111111116,0.0,False
clens,15,0.4839,sink_arg,rename_cumulative,0.4722222222222222,0.32,0.02777777777777779,0.19444444444444442,0.14285714285714293,False
clens,15,0.4839,sink_arg,rename_only,0.4444444444444444,0.202,0.05555555555555558,0.20833333333333337,0.2666666666666667,False
clens,15,0.4839,sink_arg,rename_opaque,0.4722222222222222,0.36,0.02777777777777779,0.09722222222222221,0.28571428571428586,False
clens,15,0.4839,sink_arg,rename_opaque_encode,0.4583333333333333,0.162,0.041666666666666685,0.1527777777777778,0.2727272727272728,False
clens,15,0.4839,sink_arg,rename_opaque_encode_flatten,0.4166666666666667,0.002,0.08333333333333331,0.06944444444444442,1.2000000000000002,True
clens,19,0.6129,sink_arg,clean_heldout,0.2083333333333333,0.0,0.29166666666666674,0.16666666666666663,1.7500000000000009,True
