task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
defuse_edge,11,competing_update,100,103.0,0.8626453488372093,1376
defuse_edge,11,competing_update,200,205.0,0.8896151053013798,1377
defuse_edge,11,competing_update,500,505.0,0.8689002184996358,1373
defuse_edge,11,competing_update,1000,1002.0,0.872863978127136,1463
defuse_edge,11,dead_code,0,0.0,1.0,1410
defuse_edge,11,dead_code,50,51.0,0.9588755856324831,1921
defuse_edge,11,dead_code,100,103.0,0.918569582076691,2321
defuse_edge,11,dead_code,200,207.0,0.9170137776353733,3121
defuse_edge,11,dead_code,500,529.0,0.8862995677504228,5321
defuse_edge,11,dead_code,1000,1009.0,0.8544771740406055,8521
defuse_edge,11,lexical_decoy,0,0.0,1.0,1414
defuse_edge,11,lexical_decoy,50,71.0,0.885781990521327,2110
defuse_edge,11,lexical_decoy,100,119.0,0.8867469879518072,2490
defuse_edge,11,lexical_decoy,200,215.0,0.8805737449329591,3207
defuse_edge,11,lexical_decoy,500,519.0,0.8465299981192401,5317
defuse_edge,11,lexical_decoy,1000,1023.0,0.8137700215156586,8366
defuse_edge,11,scope_shadow,0,0.0,1.0,1413
defuse_edge,11,scope_shadow,50,53.0,0.7880264531848242,2873
defuse_edge,11,scope_shadow,100,107.0,0.7729187562688065,4985
defuse_edge,11,scope_shadow,200,219.0,0.8159028938341103,11369
defuse_edge,11,scope_shadow,500,519.0,0.8550262944983819,39552
