layer,arm,example,rho,abs_error
23,no_identity,4,0.734986424446106,0.26501357555389404
23,no_identity,5,0.6857942938804626,0.31420570611953735
23,no_identity,6,0.6402492523193359,0.35975074768066406
23,no_identity,7,0.6942189335823059,0.3057810664176941
23,no_identity,8,0.6561446189880371,0.3438553810119629
23,no_identity,9,0.6134155988693237,0.38658440113067627
23,no_half,0,3.2485389709472656,2.2485389709472656
23,no_half,1,3.219254493713379,2.219254493713379
23,no_half,2,3.0109119415283203,2.0109119415283203
23,no_half,3,2.8523881435394287,1.8523881435394287
23,no_half,4,2.9809935092926025,1.9809935092926025
23,no_half,5,2.5817153453826904,1.5817153453826904
23,no_half,6,2.771721124649048,1.7717211246490479
23,no_half,7,2.852904796600342,1.8529047966003418
23,no_half,8,2.5845577716827393,1.5845577716827393
23,no_half,9,2.871058464050293,1.871058464050293
23,none,0,0.1928679496049881,0.8071320503950119
23,none,1,0.10006597638130188,0.8999340236186981
23,none,2,0.205921471118927,0.794078528881073
23,none,3,0.18379715085029602,0.816202849149704
23,none,4,0.21569736301898956,0.7843026369810104
23,none,5,0.22681285440921783,0.7731871455907822
23,none,6,0.14519833028316498,0.854801669716835
23,none,7,0.1777033805847168,0.8222966194152832
23,none,8,0.08214443922042847,0.9178555607795715
23,none,9,0.09742575883865356,0.9025742411613464
27,all,0,0.999961793422699,3.820657730102539e-05
27,all,1,1.0000195503234863,1.9550323486328125e-05
27,all,2,0.9999637603759766,3.62396240234375e-05
27,all,3,0.9999024868011475,9.751319885253906e-05
27,all,4,0.9998607635498047,0.0001392364501953125
27,all,5,1.0000189542770386,1.895427703857422e-05
27,all,6,0.9998400807380676,0.00015991926193237305
27,all,7,0.9999737739562988,2.6226043701171875e-05
27,all,8,0.9999071955680847,9.28044319152832e-05
27,all,9,1.000023365020752,2.3365020751953125e-05
27,no_attn,0,0.902490496635437,0.09750950336456299
27,no_attn,1,0.9305005669593811,0.0694994330406189
27,no_attn,2,0.871845543384552,0.128154456615448
27,no_attn,3,0.7943048477172852,0.20569515228271484
27,no_attn,4,0.8775305151939392,0.12246948480606079
27,no_attn,5,0.7990950345993042,0.2009049654006958
27,no_attn,6,1.0044666528701782,0.004466652870178223
27,no_attn,7,0.8635557889938354,0.13644421100616455
27,no_attn,8,0.9196584224700928,0.08034157752990723
27,no_attn,9,0.9234473705291748,0.0765526294708252
27,no_ln,0,-0.004992905538529158,1.0049929055385292
27,no_ln,1,-0.02347303368151188,1.0234730336815119
27,no_ln,2,-0.014558956027030945,1.014558956027031
27,no_ln,3,-0.018326476216316223,1.0183264762163162
27,no_ln,4,0.011916927993297577,0.9880830720067024
27,no_ln,5,0.05101349577307701,0.948986504226923
27,no_ln,6,0.14194612205028534,0.8580538779497147
27,no_ln,7,0.09076506644487381,0.9092349335551262
27,no_ln,8,0.1835177093744278,0.8164822906255722
27,no_ln,9,0.06868720054626465,0.9313127994537354
27,no_identity,0,0.8115514516830444,0.18844854831695557
27,no_identity,1,0.7620865106582642,0.23791348934173584
27,no_identity,2,0.7758297324180603,0.2241702675819397
27,no_identity,3,0.7298043966293335,0.2701956033706665
27,no_identity,4,0.7829574942588806,0.21704250574111938
27,no_identity,5,0.7400174736976624,0.25998252630233765
27,no_identity,6,0.6987418532371521,0.3012581467628479
27,no_identity,7,0.7504752278327942,0.2495247721672058
27,no_identity,8,0.7127091288566589,0.28729087114334106
27,no_identity,9,0.6765641570091248,0.32343584299087524
27,no_half,0,2.2798569202423096,1.2798569202423096
27,no_half,1,2.2645487785339355,1.2645487785339355
27,no_half,2,2.2857155799865723,1.2857155799865723
27,no_half,3,2.1335935592651367,1.1335935592651367
27,no_half,4,2.258357048034668,1.258357048034668
27,no_half,5,2.0065157413482666,1.0065157413482666
27,no_half,6,1.956156849861145,0.956156849861145
27,no_half,7,2.0621016025543213,1.0621016025543213
27,no_half,8,1.80071222782135,0.8007122278213501
27,no_half,9,2.0508923530578613,1.0508923530578613
27,none,0,0.3561750054359436,0.6438249945640564
27,none,1,0.2498169094324112,0.7501830905675888
27,none,2,0.3245912492275238,0.6754087507724762
27,none,3,0.3240576386451721,0.6759423613548279
27,none,4,0.3301124572753906,0.6698875427246094
27,none,5,0.34010592103004456,0.6598940789699554
