model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,signature,1,72,0.02774437835372083,0.3888888888888889,0.948,0.2203924271743177,0.1009655117039451,0.0732211333502243,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,sink_arg,0,72,0.0118864740705145,0.5555555555555556,0.812,0.6216872201136014,0.008108831176540342,-0.0037776428939741585,0.6111111111111112,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,sink_call,1,72,-0.012780776886637103,0.3611111111111111,0.938,-0.10277969869844217,-0.0010609265523915607,0.01171985033424552,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,source_expr,1,72,0.037408607716114484,0.4583333333333333,0.77,0.9116266098320563,0.027893483352283293,-0.009515124363831182,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,taint_chain,1,72,-0.0047048286422470866,0.3333333333333333,0.574,-0.5752362850896202,0.04722489857938673,0.05192972722163382,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,trust_chain,1,72,0.009779970104548525,0.7638888888888888,0.482,0.8415902396467243,0.05793683387086836,0.04815686376631983,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,7,24281, vulnerable,trusted_expr,1,72,-0.0188997838016694,0.4444444444444444,0.814,-0.7980427556464386,0.02294621060689452,0.041845994408563916,1.0,9.947806645094204e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,other,0,72,-0.5512930400785826,0.5555555555555556,0.938,-0.7123269797013161,0.8511452808050803,1.4024383208836628,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,signature,1,72,0.2871318896150351,0.3888888888888889,0.952,0.7266183897446714,0.03870798968759387,-0.24842389992744116,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,sink_arg,0,72,0.006635847800996703,0.5138888888888888,0.58,0.7857610928749331,0.012910905421038107,0.006275057620041402,0.6111111111111112,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,sink_call,1,72,0.17647770395267912,0.3472222222222222,0.928,0.574105881742773,-0.014539018585388188,-0.19101672253806726,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,source_expr,1,72,0.13531803023056097,0.5138888888888888,0.878,0.962676287612158,0.021870436819463372,-0.11344759341109754,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,taint_chain,1,72,-0.005478999290764442,0.4583333333333333,0.704,-0.6379851085321087,0.030291282290005724,0.03577028158077016,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,trust_chain,1,72,-0.002689720826002282,0.7083333333333334,0.964,-0.20243401642455583,0.03406861044167041,0.03675833126767269,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,5723, safe,trusted_expr,1,72,-0.046102201394394034,0.5972222222222222,0.898,-0.8857938904908215,0.0255447101439834,0.07164691153837742,1.0,1.4447142893114773e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,other,0,72,-0.06283325501366886,0.5416666666666666,0.934,-0.19792000201877621,0.8197501459074145,0.8825834009210833,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,signature,1,72,0.036973410255029655,0.3888888888888889,0.946,0.2346194364846661,0.05240954937990065,0.015436139124870999,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,sink_arg,0,72,0.0015580180328586648,0.5277777777777778,0.81,0.2963715527136242,0.013643280683053616,0.012085262650194953,0.6111111111111112,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,sink_call,1,72,-0.009701116203457169,0.3333333333333333,0.96,-0.07427483665650818,0.0051187855094656075,0.014819901712922794,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,source_expr,1,72,0.04281419919666412,0.5277777777777778,0.874,0.8520963829161193,0.022681798058654466,-0.02013240113800965,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,taint_chain,1,72,-0.000658617344968557,0.4722222222222222,0.896,-0.10885493835866028,0.030192125519039395,0.03085074286400795,1.0,9.376973508778974e-08
