model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-inner-post_use,binding,binding-0,inner,post_use,20,random_matched,erase,1.75,1.75,0.0,0.03976419017725158
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,jlens,erase,1.75,1.75,0.0,0.012706173946031879
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,rlens,erase,1.75,1.75,0.0,0.03716741085528957
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,logit,erase,1.75,1.75,0.0,0.007100961258534617
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,offtarget_j,erase,1.75,1.75,0.0,0.014260918873701147
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,offtarget_r,erase,1.75,1.75,0.0,0.043552302515722265
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,random,erase,1.75,1.75,0.0,0.00289009943260072
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,12,random_matched,erase,1.75,1.75,0.0,0.01270617285779923
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,jlens,erase,1.75,1.75,0.0,0.01648250035269183
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,rlens,erase,1.75,1.75,0.0,0.01764104130179787
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,logit,erase,1.75,1.75,0.0,0.0036195927548559386
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,offtarget_j,erase,1.75,1.75,0.0,0.012291732099510504
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,offtarget_r,erase,1.75,1.75,0.0,0.0014021142747426523
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,random,erase,1.75,1.75,0.0,0.005597154437121443
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,16,random_matched,erase,1.75,1.75,0.0,0.01648249851881168
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,jlens,erase,1.75,1.75,0.0,0.042040716455118414
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,rlens,erase,1.75,1.75,0.0,0.03715266063978341
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,logit,erase,1.75,1.75,0.0,0.01349150194988795
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,offtarget_j,erase,1.75,1.75,0.0,0.030051562662362155
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,offtarget_r,erase,1.75,1.75,0.0,0.029414842042231836
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,random,erase,1.75,1.75,0.0,0.030967638123191924
starcoder2-3b,binding-0-inner-call,binding,binding-0,inner,call,20,random_matched,erase,1.75,1.75,0.0,0.042040716455118414
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,jlens,erase,1.75,1.75,0.0,0.048955746393057144
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,rlens,erase,1.75,1.75,0.0,0.035036272420428664
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,logit,erase,1.75,1.75,0.0,0.020931838378058225
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,offtarget_j,erase,1.75,1.75,0.0,0.06578551638064528
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,offtarget_r,erase,1.75,1.75,0.0,0.045688264412148606
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,random,erase,1.75,1.5,-0.25,0.002696107537206854
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,12,random_matched,erase,1.75,1.5,-0.25,0.048955756878173266
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,jlens,erase,1.75,1.75,0.0,0.017521653219769704
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,rlens,erase,1.75,1.5,-0.25,0.008618055713764979
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,logit,erase,1.75,1.75,0.0,6.134760441169351e-05
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,offtarget_j,erase,1.75,1.75,0.0,0.006552241926979932
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,offtarget_r,erase,1.75,1.5,-0.25,0.020004263517955593
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,answer,16,random,erase,1.75,1.5,-0.25,0.017661503117900917
