model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,27,last_token,encode_only,jlens,logit,0.6825681525956747,0.657866426539378,196
starcoder2-3b,27,last_token,encode_only,jlens,rlens,0.9974524657548812,0.9963678091306808,196
starcoder2-3b,27,last_token,encode_only,logit,rlens,0.6873572324323068,0.6598650080883584,196
starcoder2-3b,27,last_token,flatten_only,jlens,logit,0.8080963159791514,0.787531974914136,196
starcoder2-3b,27,last_token,flatten_only,jlens,rlens,0.9985770917802654,0.9980316999896407,196
starcoder2-3b,27,last_token,flatten_only,logit,rlens,0.8097519760271733,0.7887559865804973,196
starcoder2-3b,27,last_token,normalize,jlens,logit,0.6855334931689554,0.6206806971128944,196
starcoder2-3b,27,last_token,normalize,jlens,rlens,0.9985377274028999,0.9979456366693497,196
starcoder2-3b,27,last_token,normalize,logit,rlens,0.6892578103264799,0.6227063726701145,196
starcoder2-3b,27,last_token,opaque_only,jlens,logit,0.8510413112993076,0.8220353975248826,196
starcoder2-3b,27,last_token,opaque_only,jlens,rlens,0.9983794691817319,0.9976842591780954,196
starcoder2-3b,27,last_token,opaque_only,logit,rlens,0.8555761054918882,0.8275609814406044,196
starcoder2-3b,27,last_token,rename_cumulative,jlens,logit,0.6764956616856972,0.6860139135701139,196
starcoder2-3b,27,last_token,rename_cumulative,jlens,rlens,0.9978362515098796,0.9973591310792181,196
starcoder2-3b,27,last_token,rename_cumulative,logit,rlens,0.681132748144018,0.6907059582911651,196
starcoder2-3b,27,last_token,rename_only,jlens,logit,0.7509915089172046,0.7411709392855151,196
starcoder2-3b,27,last_token,rename_only,jlens,rlens,0.9985762703543052,0.998179920152364,196
starcoder2-3b,27,last_token,rename_only,logit,rlens,0.7546038756151209,0.7455856688634064,196
starcoder2-3b,27,last_token,rename_opaque,jlens,logit,0.8412856926451516,0.8381818326705928,196
starcoder2-3b,27,last_token,rename_opaque,jlens,rlens,0.9981976526439302,0.9978898548876796,196
starcoder2-3b,27,last_token,rename_opaque,logit,rlens,0.8444687874287511,0.8427862203061625,196
starcoder2-3b,27,last_token,rename_opaque_encode,jlens,logit,0.7368876697950334,0.734714596498498,196
starcoder2-3b,27,last_token,rename_opaque_encode,jlens,rlens,0.9980188451728486,0.996625999091554,196
